# DM            x	    dN/dx [ee]      +DHad [ee]    -DHad [ee]       +DScale [ee]        -DScale [ee]          +DcNS [ee]     -DcNS [ee]	     dN/dx [mumu]   +DHad [mumu]    -DHad [mumu]       +DScale [mumu]        -DScale [mumu]          +DcNS [mumu]     -DcNS [mumu]          dN/dx [tautau]    +DHad [tautau]    -DHad [tautau]       +DScale [tautau]        -DScale [tautau]      +DcNS [tautau]     -DcNS [tautau]       dN/dx [uu]      +DHad [uu]    -DHad [uu]       +DScale [uu]        -DScale [uu]          +DcNS [uu]     -DcNS [uu]	    dN/dx [dd]      +DHad [dd]    -DHad [dd]       +DScale [dd]        -DScale [dd]     +DcNS [dd]     -DcNS [dd]       dN/dx [ss]      +DHad [ss]    -DHad [ss]       +DScale [ss]        -DScale [ss]          +DcNS [ss]     -DcNS [ss]      dN/dx [cc]      +DHad [cc]    -DHad [cc]       +DScale [cc]        -DScale [cc]          +DcNS [cc]     -DcNS [cc]        dN/dx [bb]      +DHad [bb]    -DHad [bb]       +DScale [bb]        -DScale [bb]          +DcNS [bb]     -DcNS [bb]      dN/dx [tt]      +DHad [tt]    -DHad [tt]       +DScale [tt]        -DScale [tt]          +DcNS [tt]     -DcNS [tt]        dN/dx [gaga]      +DHad [gaga]    -DHad [gaga]       +DScale [gaga]        -DScale [gaga]          +DcNS [gaga]     -DcNS [gaga]	   dN/dx [zz]      +DHad [zz]    -DHad [zz]       +DScale [zz]        -DScale [zz]          +DcNS [zz]     -DcNS [zz]        dN/dx [ww]      +DHad [ww]    -DHad [ww]       +DScale [ww]        -DScale [ww]          +DcNS [ww]     -DcNS [ww]		dN/dx [gg]      +DHad [gg]    -DHad [gg]       +DScale [gg]        -DScale [gg]       +DcNS [gg]     -DcNS [gg]       dN/dx [hh]      +DHad [hh]    -DHad [hh]       +DScale [hh]        -DScale [hh]          +DcNS [hh]     -DcNS [hh]
5.0    0.0000000010593    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0
5.0    0.0000000011885    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0
5.0    0.0000000013335    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0
5.0    0.0000000014962    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0
5.0    0.0000000016788    0.0000000    0    0    0    0    0    0	    0.0000067    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0
5.0    0.0000000018836    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0
5.0    0.0000000021135    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000067    0    .0000067    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0
5.0    0.0000000023714    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000067    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0
5.0    0.0000000026607    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0
5.0    0.0000000029854    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0	    0.0000000    0    0    0    0    0    0
